config_id,kappa_S,c3_base,c3_transformed,c3_change_pct,eigenvalues_preserved
0,1.0,0.0,0.0,0.0,True
0,2.0,0.0,0.0,0.0,True
0,5.0,0.0,0.0,0.0,True
0,10.0,0.0,0.0,0.0,True
0,50.0,0.0,0.0022,2222222222.2,True
0,100.0,0.0,0.0044,4444444444.4,True
1,1.0,0.0,0.0,0.0,True
1,2.0,0.0,0.0,0.0,True
1,5.0,0.0,0.0,0.0,True
1,10.0,0.0,0.0,0.0,True
1,50.0,0.0,0.0,0.0,True
1,100.0,0.0,0.0022,2222222222.2,True
2,1.0,0.0,0.0,0.0,True
2,2.0,0.0,0.0,0.0,True
2,5.0,0.0,0.0,0.0,True
2,10.0,0.0,0.0,0.0,True
2,50.0,0.0,0.0,0.0,True
2,100.0,0.0,0.0022,2222222222.2,True
3,1.0,0.0,0.0,0.0,True
3,2.0,0.0,0.0,0.0,True
3,5.0,0.0,0.0,0.0,True
3,10.0,0.0,0.0,0.0,True
3,50.0,0.0,0.0,0.0,True
3,100.0,0.0,0.0022,2222222222.2,True
4,1.0,0.0,0.0,0.0,True
4,2.0,0.0,0.0,0.0,True
4,5.0,0.0,0.0,0.0,True
4,10.0,0.0,0.0,0.0,True
4,50.0,0.0,0.0,0.0,True
4,100.0,0.0,0.0022,2222222222.2,True
5,1.0,0.0,0.0,0.0,True
5,2.0,0.0,0.0,0.0,True
5,5.0,0.0,0.0,0.0,True
5,10.0,0.0,0.0,0.0,True
5,50.0,0.0,0.0,0.0,True
5,100.0,0.0,0.0044,4444444444.4,True
6,1.0,0.0,0.0,0.0,True
6,2.0,0.0,0.0,0.0,True
6,5.0,0.0,0.0,0.0,True
6,10.0,0.0,0.0,0.0,True
6,50.0,0.0,0.0,0.0,True
6,100.0,0.0,0.0022,2222222222.2,True
7,1.0,0.0,0.0,0.0,True
7,2.0,0.0,0.0,0.0,True
7,5.0,0.0,0.0,0.0,True
7,10.0,0.0,0.0,0.0,True
7,50.0,0.0,0.0,0.0,True
7,100.0,0.0,0.0022,2222222222.2,True
8,1.0,0.0,0.0,0.0,True
8,2.0,0.0,0.0,0.0,True
8,5.0,0.0,0.0,0.0,True
8,10.0,0.0,0.0,0.0,True
8,50.0,0.0,0.0,0.0,True
8,100.0,0.0,0.0044,4444444444.4,True
9,1.0,0.0,0.0,0.0,True
9,2.0,0.0,0.0,0.0,True
9,5.0,0.0,0.0,0.0,True
9,10.0,0.0,0.0,0.0,True
9,50.0,0.0,0.0,0.0,True
9,100.0,0.0,0.0044,4444444444.4,True
10,1.0,0.0,0.0,0.0,True
10,2.0,0.0,0.0,0.0,True
10,5.0,0.0,0.0,0.0,True
10,10.0,0.0,0.0,0.0,True
10,50.0,0.0,0.0,0.0,True
10,100.0,0.0,0.0044,4444444444.4,True
11,1.0,0.0,0.0,0.0,True
11,2.0,0.0,0.0,0.0,True
11,5.0,0.0,0.0,0.0,True
11,10.0,0.0,0.0,0.0,True
11,50.0,0.0,0.0,0.0,True
11,100.0,0.0,0.0022,2222222222.2,True
12,1.0,0.0,0.0,0.0,True
12,2.0,0.0,0.0,0.0,True
12,5.0,0.0,0.0,0.0,True
12,10.0,0.0,0.0,0.0,True
12,50.0,0.0,0.0022,2222222222.2,True
12,100.0,0.0,0.0044,4444444444.4,True
13,1.0,0.0,0.0,0.0,True
13,2.0,0.0,0.0,0.0,True
13,5.0,0.0,0.0,0.0,True
13,10.0,0.0,0.0,0.0,True
13,50.0,0.0,0.0,0.0,True
13,100.0,0.0,0.0022,2222222222.2,True
14,1.0,0.0,0.0,0.0,True
14,2.0,0.0,0.0,0.0,True
14,5.0,0.0,0.0,0.0,True
14,10.0,0.0,0.0,0.0,True
14,50.0,0.0,0.0,0.0,True
14,100.0,0.0,0.0022,2222222222.2,True
15,1.0,0.0,0.0,0.0,True
15,2.0,0.0,0.0,0.0,True
15,5.0,0.0,0.0,0.0,True
15,10.0,0.0,0.0,0.0,True
15,50.0,0.0,0.0,0.0,True
15,100.0,0.0,0.0022,2222222222.2,True
16,1.0,0.0,0.0,0.0,True
16,2.0,0.0,0.0,0.0,True
16,5.0,0.0,0.0,0.0,True
16,10.0,0.0,0.0,0.0,True
16,50.0,0.0,0.0,0.0,True
16,100.0,0.0,0.0044,4444444444.4,True
17,1.0,0.0,0.0,0.0,True
17,2.0,0.0,0.0,0.0,True
17,5.0,0.0,0.0,0.0,True
17,10.0,0.0,0.0,0.0,True
17,50.0,0.0,0.0,0.0,True
17,100.0,0.0,0.0022,2222222222.2,True
18,1.0,0.0,0.0,0.0,True
18,2.0,0.0,0.0,0.0,True
18,5.0,0.0,0.0,0.0,True
18,10.0,0.0,0.0,0.0,True
18,50.0,0.0,0.0,0.0,True
18,100.0,0.0,0.0022,2222222222.2,True
19,1.0,0.0,0.0,0.0,True
19,2.0,0.0,0.0,0.0,True
19,5.0,0.0,0.0,0.0,True
19,10.0,0.0,0.0,0.0,True
19,50.0,0.0,0.0,0.0,True
19,100.0,0.0,0.0044,4444444444.4,True
