config_id,sweep_type,ssm_family,target_eigenvalue_radius,target_condition_V,actual_spectral_radius,actual_condition_V,N,L,T_test,seed,trivial_max_eigenvalue,trivial_max_operator_norm,contract_C1,contract_C2,contract_C5,contract_C3,contract_C4,contract_C6,diverged,growth_ratio,log_growth,memory_retention,log_retention,final_norm
NN05,non_normal,hyena_like,0.95,1.0,0.9499999999999997,1.0000000000000164,16,2,200,5,0.9499999999999997,0.9499999999999994,100000000.0,24325.99930119683,,0.9499999999999997,100000000.0,0.0,False,1.5912878580369818e-10,-22.561307267951754,0.24999999999999994,-1.3862943611198908,3.0717235278786673e-10
NN10,non_normal,hyena_like,0.95,10.0,0.9500000000000002,6.25915381694428,16,2,200,5,0.9500000000000002,0.9500248070764864,100000000.0,61394.490385684774,,0.9500000000000002,100000000.0,0.0011010152484427042,False,3.7339815129002953e-10,-21.708375835850777,0.25091948165872474,-1.382623181518821,3.0836448872629117e-10
NN15,non_normal,hyena_like,0.95,100.0,0.9500000000000003,6.670494177633209,16,2,200,5,0.9500000000000003,0.9524710953127952,100000000.0,47535.97293609618,,0.9500000000000003,100000000.0,0.010140276611391927,False,5.078283714635281e-10,-21.400877576884472,0.2601863801429662,-1.346357058074769,4.172419814164039e-10
NN20,non_normal,hyena_like,0.95,500.0,0.9499999999999988,12.598805528047807,16,2,200,5,0.9500000000000007,1.012443563421611,100000000.0,4952.082641998966,,0.24386202685528974,100000000.0,0.03200127412244623,False,1.1742458199789866e-07,-15.957469564776552,0.32203061985125747,-1.133108645252985,8.772335379330306e-08
NN25,non_normal,hyena_like,0.95,1000.0,0.9500000000000006,22.91113749699842,16,2,200,5,0.9500000000000008,1.2104080959079095,100000000.0,8459.471406219243,,0.5682912796784003,100000000.0,0.05385996956196448,False,0.00012070121593649412,-9.02219235587264,0.4346139082518064,-0.8332972092517031,7.222149562066757e-05
NN30,non_normal,hyena_like,0.99,1.0,0.99,1.000000000000125,16,2,200,5,0.99,0.9900000000000013,100000000.0,633605.9999644542,,0.99,100000000.0,0.0,False,0.0023247939806750615,-6.064123854331296,0.25,-1.3862943611198906,0.004487638318763772
NN35,non_normal,hyena_like,0.99,10.0,0.9899999999999971,5.410026613883925,16,2,200,5,0.9900000000000033,0.990022225215201,100000000.0,5157315.207403129,,0.9900000000000033,100000000.0,0.001068774055523792,False,0.005452395702086529,-5.2117001885287495,0.250837724122689,-1.382949066372361,0.004502919863404441
NN40,non_normal,hyena_like,0.99,100.0,0.9900000000000001,7.3969694828363854,16,2,200,5,0.990000000000001,0.9922150158818767,100000000.0,1054103.3028627434,,0.990000000000001,100000000.0,0.009879446178004797,False,0.007114473265136954,-4.945624081784878,0.2592296162619299,-1.3500410607614335,0.005850524133603247
NN45,non_normal,hyena_like,0.99,500.0,0.9900000000000008,15.170059994167756,16,2,200,5,0.9900000000000051,1.0458783315100577,100000000.0,2471.1994747200533,,0.26391631171681085,100000000.0,0.031998599034631744,False,0.9307265043887197,-0.0717898102882351,0.3144907152733126,-1.1568007254608557,0.7053383759527453
NN50,non_normal,hyena_like,0.99,1000.0,0.9899999999999984,28.98445060705422,16,2,200,5,0.9899999999999993,1.2219916871501053,100000000.0,8015.568626670328,,0.6614681316644403,100000000.0,0.052693254600811104,True,996.1703834250161,6.9039183106499875,0.4159515953564138,-0.8771863828072245,619.5787431084765
